SKU Code,Node Code,Channel Name,Channel Description,Planner,Leader,Manager,Head,ASM,RSM,ZSM,NSM,Planner Email Address,Leader Email Address,Manager Email Address,Head Email Address,ASM Email Address,RSM Email Address,ZSM Email Address,NSM Email Address
SKUC1,NOC1,Retailer,Retailer,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC2,NOC2,Retailer,Retailer,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC3,NOC3,Retailer,Retailer,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC4,NOC4,Retailer,Retailer,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC5,NOC5,Retailer,Retailer,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC6,NOC6,E-Commerce,E-Commerce,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC7,NOC7,E Commerce,E Commerce,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC8,NOC8,E-Commerce,E-Commerce,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC9,NOC9,E-Commerce,E-Commerce,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
SKUC10,NOC10,E-Commerce,E-Commerce,Planner1,Lead1,Manage1,Head1,ASM1,RSM1,ZSM1,NSM1,dptest1@test.com,Leadtest1@test.com,Managertest1@test.com,Headtest1@test.com,asmtest1@test.com,rsmtest1@test.com,zsmtest1@test.com,nsmtest1@test.com
